Date,Transaction_Type,Currency,Amount_GBP,Amount_Crypto,Description
2019-11-18,Converted,XLM,148.39,2696.27,Converted to XLM
2019-11-18,Converted,BTC,-80.81,-0.0123,Converted BTC
2019-11-18,Converted,XRP,80.03,395.59,Converted to XRP
2019-11-07,Bought,BAT,20.94,100.00,Bought BAT
2019-11-07,Bought,XLM,61.89,1000.00,Bought XLM
2019-11-06,Bought,XRP,98.21,400.00,Bought XRP
2019-11-06,Sent,BTC,-10.30,-0.00142,Sent BTC
2019-11-06,Received,BTC,10.00,0.00138,Received BTC
2019-07-20,Received,BTC,93.42,0.0107,Received BTC
2019-07-08,Bought,BTC,1000.00,0.105,Bought BTC
2019-07-08,Bought,BTC,1000.00,0.105,Bought BTC
2019-06-29,Converted,ETC,-15.02,-2.32,Converted ETC
2019-06-29,Converted,LTC,14.86,0.141,Converted to LTC
2019-06-29,Converted,ETC,-25.09,-3.87,Converted ETC
2019-06-29,Converted,ETH,24.74,0.10,Converted to ETH
2019-06-29,Received,BTC,167.13,0.0179,Received BTC
2019-06-27,Converted,ETC,-1502.90,-209.51,Converted ETC
2019-06-27,Converted,BTC,1484.09,0.142,Converted to BTC
2019-06-17,Sent,BTC,-999.70,-0.136,Sent BTC
2019-06-17,Sent,BTC,-998.23,-0.137,Sent BTC
2019-06-05,Purchase,GBP,-38.00,-38.00,Bought ETC
2019-06-05,Bought,ETC,38.00,5.61,Bought ETC
2019-05-28,Converted,ETC,-709.26,-108.30,Converted ETC
2019-05-28,Converted,BCH,700.56,2.00,Converted to BCH
2019-05-26,Bought,BCH,348.96,1.00,Bought BCH
2019-05-26,Purchase,GBP,-2900.00,-2900.00,Bought BTC
2019-05-26,Bought,BTC,2900.00,0.42,Bought BTC
2019-05-17,Bought,BCH,300.72,1.00,Bought BCH
2019-05-17,Bought,ETH,978.57,5.00,Bought ETH
2019-05-17,Bought,ETC,584.99,100.00,Bought ETC
2019-05-16,Sent,BTC,-96.30,-0.0155,Sent BTC
2019-05-16,Received,BTC,96.08,0.0155,Received BTC
2019-05-16,Bought,LTC,2000.00,25.94,Bought LTC
2019-05-14,Bought,LTC,736.99,10.00,Bought LTC
2019-05-14,Bought,BCH,320.36,1.00,Bought BCH
2019-05-14,Bought,ETH,1685.41,10.00,Bought ETH
2019-05-14,Bought,ETC,524.85,100.00,Bought ETC
2019-04-11,Sent,ETH,-4.97,-0.0393,Sent ETH
2019-04-02,Sent,BTC,-144.94,-0.0401,Sent BTC
2019-04-02,Received,BTC,143.28,0.0395,Received BTC
2019-04-01,Sent,BTC,-10.66,-0.00339,Sent BTC
2019-03-27,Bought,BTC,13.70,0.004,Bought BTC
2019-03-25,Bought,ETH,105.85,1.00,Bought ETH
2019-02-12,Sent,BTC,-1337.85,-0.482,Sent BTC
2019-02-12,Bought,BTC,1400.00,0.48,Bought BTC
2019-02-01,Sent,BTC,-1237.22,-0.472,Sent BTC
2019-02-01,Bought,BTC,1300.00,0.473,Bought BTC
2018-11-19,Sent,BTC,-76.10,-0.0199,Sent BTC
2018-11-19,Received,BTC,78.16,0.0199,Received BTC
2018-10-25,Sent,BTC,-190.92,-0.0383,Sent BTC
2018-10-25,Sent,BTC,-948.14,-0.19,Sent BTC
2018-10-25,Bought,BTC,1200.00,0.228,Bought BTC
2018-10-23,Sent,BTC,-943.11,-0.191,Sent BTC
2018-10-23,Bought,BTC,1000.00,0.191,Bought BTC
2018-10-20,Sent,BTC,-328.16,-0.0671,Sent BTC
2018-10-20,Received,BTC,43.16,0.00882,Received BTC
2018-10-20,Sent,BTC,-415.80,-0.085,Sent BTC
2018-10-20,Sent,BTC,-249.57,-0.051,Sent BTC
2018-10-19,Bought,BTC,1000.00,0.194,Bought BTC
2018-10-16,Sent,BTC,-1906.06,-0.391,Sent BTC
2018-10-16,Bought,BTC,2000.00,0.389,Bought BTC
2018-10-08,Received,BTC,10.71,0.00212,Received BTC
2018-09-27,Sent,BTC,-1907.26,-0.387,Sent BTC
2018-09-27,Bought,BTC,2000.00,0.387,Bought BTC
2018-09-22,Sent,BTC,-159.10,-0.0311,Sent BTC
2018-09-22,Received,BTC,159.02,0.0311,Received BTC
2018-09-05,Sent,BTC,-477.26,-0.0881,Sent BTC
2018-09-05,Bought,BTC,500.00,0.0881,Bought BTC
2018-09-05,Sent,BTC,-108.35,-0.0199,Sent BTC
2018-09-05,Received,BTC,108.35,0.0199,Received BTC
2018-08-27,Sent,LTC,-449.30,-10.00,Sent LTC
2018-08-27,Bought,LTC,469.50,10.00,Bought LTC
2018-08-23,Sent,BTC,-219.25,-0.0434,Sent BTC
2018-08-23,Received,BTC,219.29,0.0434,Received BTC
2018-08-07,Sent,BTC,-137.21,-0.0255,Sent BTC
2018-08-07,Received,BTC,137.21,0.0255,Received BTC
2018-07-17,Sent,BTC,-936.30,-0.185,Sent BTC
2018-07-17,Received,BTC,935.86,0.185,Received BTC
2018-05-29,Sent,BTC,-758.90,-0.135,Sent BTC
2018-05-29,Received,BTC,759.24,0.135,Received BTC
2018-05-06,Sent,BTC,-137.06,-0.019,Sent BTC
2018-05-06,Received,BTC,137.06,0.019,Received BTC
2018-05-01,Sent,BTC,-246.63,-0.0374,Sent BTC
2018-05-01,Received,BTC,246.63,0.0374,Received BTC
2018-05-01,Sent,BTC,-45.79,-0.00694,Sent BTC
2018-05-01,Sent,BTC,-51.03,-0.00779,Sent BTC
2018-04-23,Received,BTC,93.91,0.0147,Received BTC
2018-04-20,Sent,BTC,-1670.98,-0.282,Sent BTC
2018-04-20,Received,BTC,329.21,0.0556,Received BTC
2018-04-15,Sent,BTC,-116.61,-0.02,Sent BTC
2018-04-15,Sent,BTC,-174.85,-0.03,Sent BTC
2018-04-07,Received,BTC,459.74,0.0944,Received BTC
2018-03-19,Sent,BTC,-496.54,-0.0845,Sent BTC
2018-03-18,Sent,BTC,-5.05,-0.000857,Sent BTC
2018-03-18,Sent,BTC,-498.17,-0.0845,Sent BTC
2018-03-16,Received,BTC,449.48,0.0734,Received BTC
2018-03-02,Received,BTC,578.38,0.0733,Received BTC
2018-02-19,Received,BTC,293.68,0.0371,Received BTC
2018-02-14,Received,BTC,547.32,0.0825,Received BTC
2018-02-04,Received,BTC,187.00,0.0302,Received BTC
2018-02-02,Received,BTC,295.58,0.0483,Received BTC
2018-02-01,Sent,BTC,-7.39,-0.00113,Sent BTC
2018-01-19,Received,BTC,12.43,0.00146,Received BTC
2018-01-02,Sent,BTC,-4864.81,-0.483,Sent BTC
2018-01-02,Purchase,GBP,-5017.10,-5017.10,Bought BTC
2018-01-02,Bought,BTC,5017.10,0.483,Bought BTC
2017-12-24,Sent,BTC,-386.62,-0.0366,Sent BTC
2017-12-24,Purchase,GBP,-400.00,-400.00,Bought BTC
2017-12-24,Bought,BTC,400.00,0.0366,Bought BTC
2017-12-22,Sent,BTC,-970.27,-0.0934,Sent BTC
2017-12-22,Purchase,GBP,-1000.00,-1000.00,Bought BTC
2017-12-22,Bought,BTC,1000.00,0.0934,Bought BTC
2017-12-22,Sent,BTC,-940.47,-0.0912,Sent BTC
2017-12-22,Purchase,GBP,-1000.00,-1000.00,Bought BTC
2017-12-22,Bought,BTC,1000.00,0.0912,Bought BTC
2017-12-22,Sale,GBP,-3283.77,3234.84,Sold BTC
2017-12-22,Sold,BTC,-3283.77,-0.321,Sold BTC
2017-12-22,Received,BTC,3549.51,0.321,Received BTC
2017-12-22,Sale,GBP,-559.49,551.15,Sold ETH
2017-12-22,Sold,ETH,-559.49,-1.01,Sold ETH
2017-12-22,Sale,GBP,-1459.16,1437.42,Sold LTC
2017-12-22,Sold,LTC,-1459.16,-6.98,Sold LTC
2017-12-22,Sale,GBP,-2226.72,2193.54,Sold BTC
2017-12-22,Sold,BTC,-2226.72,-0.203,Sold BTC
2017-12-20,Purchase,GBP,-1253.00,-1253.00,Bought BTC
2017-12-20,Bought,BTC,1253.00,0.0927,Bought BTC
2017-12-20,Sale,GBP,-1272.09,1253.14,Sold BTC
2017-12-20,Sold,BTC,-1272.09,-0.10,Sold BTC
2017-12-20,Sent,BTC,-2522.51,-0.201,Sent BTC
2017-12-20,Sent,BTC,-1270.33,-0.101,Sent BTC
2017-12-20,Sent,BTC,-143.18,-0.0114,Sent BTC
2017-12-19,Sent,BTC,-35.45,-0.00275,Sent BTC
2017-12-19,Sent,BTC,-18.66,-0.00146,Sent BTC
2017-12-18,Bought,LTC,750.00,3.03,Bought LTC
2017-12-16,Sent,BTC,-22.36,-0.00157,Sent BTC
2017-12-16,Sent,BTC,-22.33,-0.00157,Sent BTC
2017-12-14,Sent,BTC,-110.35,-0.00881,Sent BTC
2017-12-12,Received,BTC,2927.47,0.228,Received BTC
2017-12-12,Received,BTC,2875.24,0.224,Received BTC
2017-12-12,Received,BTC,95.55,0.00737,Received BTC
2017-12-09,Sent,BTC,-208.10,-0.0187,Sent BTC
2017-12-09,Bought,ETH,373.02,1.00,Bought ETH
2017-12-09,Bought,LTC,120.00,1.03,Bought LTC
2017-12-07,Sent,BTC,-11.11,-0.000938,Sent BTC
2017-12-05,Received,BTC,1.54,0.000176,Received BTC
2017-12-03,Received,BTC,145.90,0.0167,Received BTC
2017-11-25,Received,BTC,55.93,0.00859,Received BTC
2017-11-19,Sent,BTC,-6.67,-0.00114,Sent BTC
2017-11-19,Received,BTC,18.00,0.00308,Received BTC
2017-11-17,Received,BTC,33.47,0.00575,Received BTC
2017-11-17,Sent,BTC,-7.32,-0.00127,Sent BTC
2017-11-14,Received,BTC,27.97,0.0056,Received BTC
2017-11-10,Received,BTC,16.51,0.0032,Received BTC
2017-11-08,Received,BTC,37.10,0.00658,Received BTC
2017-11-05,Purchase,GBP,-9.00,-9.00,Bought BTC
2017-11-05,Bought,BTC,9.00,0.00137,Bought BTC
2017-11-05,Received,BTC,75.29,0.0129,Received BTC
2017-11-05,Received,BTC,70.02,0.0121,Received BTC
2017-11-04,Received,BTC,5.66,0.001,Received BTC
2017-11-04,Sent,BTC,-0.99,-0.000176,Sent BTC
2017-11-03,Sent,BTC,-13.76,-0.00251,Sent BTC
2017-10-28,Received,BTC,1.39,0.000314,Received BTC
2017-10-14,Sale,GBP,-10.00,9.01,Sold BTC
2017-10-14,Sold,BTC,-10.00,-0.00233,Sold BTC
2017-09-28,Bought,LTC,127.64,3.00,Bought LTC
2017-09-28,Received,BTC,1.00,0.000319,Received BTC
2017-09-28,Sent,BTC,-0.99,-0.000314,Sent BTC
2017-09-28,Bought,LTC,44.65,1.00,Bought LTC
